List1	List2	Similarity
{'джюлгар', 'джюлег', 'жюнюгер', 'жиниграр', 'кьулаг', 'джюнюргер', 'жинигер', 'кюлегар', 'жюнюргер', 'жинигар', 'Джюлгер'}	{'джюлгар', 'Джюлгер', 'джюлег'}	DIFFERENT
{'джюлгар', 'джюлег', 'жюнюгер', 'жиниграр', 'кьулаг', 'джюнюргер', 'жинигер', 'кюлегар', 'жюнюргер', 'жинигар', 'Джюлгер'}	{'жюнюгер', 'жиниграр', 'джюнюргер', 'дженегер', 'дженег', 'Джиниграр', 'жинигер', 'Джиниг', 'жюнюргер', 'жинигар', 'джиниг', 'джиниргер', 'Джинигар'}	DIFFERENT
{'кIулал'}	{'кьулаг', 'куклак', 'кIулал', 'кукляк', 'къуклак', 'куьлаг', 'куляк'}	DIFFERENT
{'куклак', 'кукляк', 'къуклак', 'куьлаг', 'куляк'}	{'кьулаг', 'куклак', 'кIулал', 'кукляк', 'къуклак', 'куьлаг', 'куляк'}	DIFFERENT
{'КЪЕЛЕ', 'къуьле'}	{'гюлег', 'къуьле', 'КЪЕЛЕ', 'гулег', 'кюлегар', 'Гуьлегар'}	DIFFERENT
{'къул?', 'магь'}		NOT IN LIST 2
{'джюлгар', 'джюлег', 'жюнюгер', 'жиниграр', 'кьулаг', 'джюнюргер', 'жинигер', 'кюлегар', 'жюнюргер', 'жинигар', 'Джюлгер'}	{'кьулаг', 'куклак', 'кIулал', 'кукляк', 'къуклак', 'куьлаг', 'куляк'}	DIFFERENT
{'джюлгар', 'джюлег', 'жюнюгер', 'жиниграр', 'кьулаг', 'джюнюргер', 'жинигер', 'кюлегар', 'жюнюргер', 'жинигар', 'Джюлгер'}	{'гюлег', 'къуьле', 'КЪЕЛЕ', 'гулег', 'кюлегар', 'Гуьлегар'}	DIFFERENT
{'къул?', 'магь'}	{'мегь', 'магь', 'маххе'}	DIFFERENT
{'маххе'}	{'мегь', 'магь', 'маххе'}	DIFFERENT
{'мегь'}	{'мегь', 'магь', 'маххе'}	DIFFERENT
{'рагъиб'}	{'рахай', 'рагъиб', 'рахе'}	DIFFERENT
{'рахай', 'рахе'}	{'рахай', 'рагъиб', 'рахе'}	DIFFERENT
{'къаргъадали', 'qarğıdəlı', 'qarğıdalı', 'къаргъудали', 'къаргъадалый', 'къаргъудели', 'каргъаделле', 'каргъидалы', 'къаргъадалай', 'къаргьдали', 'каргъудали', 'qardalı'}	{'qarğıdəlı', 'qarğıdalı', 'qardalı'}	DIFFERENT
{'гьаджибугъда', 'хаджбугъда', 'гъяжибугъда', 'гьажибугъда', 'гьяджибугъда', 'хIеджибугъда', 'а1джибугъда', 'ажибулда', 'гьяджибухда', 'хаджибугъда', 'гъаджибугъда', 'гьяжибугъда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'хъаджибугъда'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'гьабижай'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'гьяжидяхин', 'гьяджиндяхин', 'гьяджидяхин'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'гьяжилаъач1и', 'гьяжилач1и'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'къаргъадали', 'qarğıdəlı', 'qarğıdalı', 'къаргъудали', 'къаргъадалый', 'къаргъудели', 'каргъаделле', 'каргъидалы', 'къаргъадалай', 'къаргьдали', 'каргъудали', 'qardalı'}	{'къаргъадали', 'къаргъудали', 'къаргъадалый', 'къаргъудели', 'каргъаделле', 'къаргъадалай', 'каргъидалы', 'къаргьдали', 'каргъудали'}	DIFFERENT
{'х1ажилач1и'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'х1еч1инк1а'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'х1еч1къир'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'х1еч1ч1инк1а'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'хьаьжк1а'}	{'гъяжибугъда', 'гьажибугъда', 'гъаджибугъда', 'гьабижай', 'хьаьжк1а', 'хаджибугъда', 'хIеджибугъда', 'ажибулда', 'гьяджибухда', 'хIаджибугъда', 'гьеджинк1а', 'гъажибугъда', 'гьяджбугъда', 'гьяджиндяхин', 'хъаджибугъда', 'гьяжидяхин', 'х1ажилач1и', 'х1еч1ч1инк1а', 'гьаджибугъда', 'хаджбугъда', 'х1еч1къир', 'гьяджибугъда', 'а1джибугъда', 'х1еч1инк1а', 'гьяжибугъда', 'гьяджидяхин', 'гьяжилаъач1и', 'гьяжилач1и'}	DIFFERENT
{'-bozeh', '-moozeh'}	{'-bozeh'}	DIFFERENT
{'-bozeh', '-moozeh'}	{'-moozeh'}	DIFFERENT
{'ГАТУН'}	{'ХАЛИ', 'гатун хали', 'ГАТУН'}	DIFFERENT
{'гатун хали'}	{'ХАЛИ', 'гатун хали', 'ГАТУН'}	DIFFERENT
{'говун'}	{'къавум', 'хъавум', 'КЪАВУМ', 'къовум', 'кавым', 'кавын', 'къавын', 'говун', 'къавым', 'овум', 'къавун'}	DIFFERENT
{'гъаре хумурзак', 'гьару хурзумак'}	{'хьаюн хурдзумаг', 'харам хурзмаг', 'хьару хурдзумаг', 'хьаюн хурдзумага', 'хьадан хумурзаг', 'хьаян хурдзумаг', 'хьари хурзумаг', 'гьару хурзумак', 'хьаранхорзумаг', 'хару хумурзаг', 'хьари-хьурзумаг', 'гъаре хумурзак', 'хьая хурдзумага', 'хьаду хумурзаг', 'хару хурзумаг', 'хадан хумурзак'}	DIFFERENT
{'къавум', 'хъавум', 'КЪАВУМ', 'къовум', 'кавым', 'кавын', 'къавын', 'къавым', 'овум', 'къавун'}	{'къавум', 'хъавум', 'КЪАВУМ', 'къовум', 'кавым', 'кавын', 'къавын', 'говун', 'къавым', 'овум', 'къавун'}	DIFFERENT
{'хьаюн хурдзумаг', 'харам хурзмаг', 'хьару хурдзумаг', 'хьаюн хурдзумага', 'хьадан хумурзаг', 'хьаян хурдзумаг', 'хьари хурзумаг', 'хьаранхорзумаг', 'хару хумурзаг', 'хьари-хьурзумаг', 'хьая хурдзумага', 'хьаду хумурзаг', 'хару хурзумаг', 'хадан хумурзак'}	{'хьаюн хурдзумаг', 'харам хурзмаг', 'хьару хурдзумаг', 'хьаюн хурдзумага', 'хьадан хумурзаг', 'хьаян хурдзумаг', 'хьари хурзумаг', 'гьару хурзумак', 'хьаранхорзумаг', 'хару хумурзаг', 'хьари-хьурзумаг', 'гъаре хумурзак', 'хьая хурдзумага', 'хьаду хумурзаг', 'хару хурзумаг', 'хадан хумурзак'}	DIFFERENT
{'ХАЛИ'}	{'ХАЛИ', 'гатун хали', 'ГАТУН'}	DIFFERENT
{'Iегв', '1агв', '1егв'}	{'агъ', 'Iегв', '1агв', '1егв'}	DIFFERENT
{'айна', 'abgeeneh', 'ayeneh'}	{'abgeeneh', 'ayeneh'}	DIFFERENT
{'güzgü', 'güzgi'}	{'güzgü', 'гузги', 'гуьз', 'гуьзгуь', 'гизги', 'гуьзги', 'лигру гюгзги', 'гюзге', 'лигъру гюзги', 'гузге', 'гюзгю', 'ГУЬЗГУЬ', 'гюзги', 'güzgi'}	DIFFERENT
{'merat', 'mirayah(dial.)', "mir'aah"}	{'merat'}	DIFFERENT
{'merat', 'mirayah(dial.)', "mir'aah"}	{'mirayah(dial.)', "mir'aah"}	DIFFERENT
{'агъ'}	{'агъ', 'Iегв', '1агв', '1егв'}	DIFFERENT
{'айна', 'abgeeneh', 'ayeneh'}	{'айна'}	DIFFERENT
{'гюзги', 'гузги', 'гуьз', 'гизги', 'гуьзги', 'лигру гюгзги', 'гюзге', 'лигъру гюзги', 'гузге', 'гюзгю', 'ГУЬЗГУЬ', 'гьинни гьалч1иня мат1у', 'куьзга', 'гуьзгуь'}	{'güzgü', 'гузги', 'гуьз', 'гуьзгуь', 'гизги', 'гуьзги', 'лигру гюгзги', 'гюзге', 'лигъру гюзги', 'гузге', 'гюзгю', 'ГУЬЗГУЬ', 'гюзги', 'güzgi'}	DIFFERENT
{'гюзги', 'гузги', 'гуьз', 'гизги', 'гуьзги', 'лигру гюгзги', 'гюзге', 'лигъру гюзги', 'гузге', 'гюзгю', 'ГУЬЗГУЬ', 'гьинни гьалч1иня мат1у', 'куьзга', 'гуьзгуь'}		NOT IN LIST 2
{'гюзги', 'гузги', 'гуьз', 'гизги', 'гуьзги', 'лигру гюгзги', 'гюзге', 'лигъру гюзги', 'гузге', 'гюзгю', 'ГУЬЗГУЬ', 'гьинни гьалч1иня мат1у', 'куьзга', 'гуьзгуь'}	{'куьзга'}	DIFFERENT
{'puli', 'пул', 'ПУЛ', 'pool', 'pul', 'пыль', 'пыл'}	{'puli', 'пул', 'ПУЛ', 'pool', 'pul'}	DIFFERENT
{'акъча'}	{'акъча', 'ачи', 'ахч'}	DIFFERENT
{'ахч'}	{'акъча', 'ачи', 'ахч'}	DIFFERENT
{'ачи'}	{'акъча', 'ачи', 'ахч'}	DIFFERENT
{'puli', 'пул', 'ПУЛ', 'pool', 'pul', 'пыль', 'пыл'}	{'пыль', 'пыл'}	DIFFERENT
{'шийибыр', 'шийбыр', 'шегьибиыр', 'шиибу'}	{'шийбыр', 'шегьибиыр', 'шийибыр'}	DIFFERENT
{'шийибыр', 'шийбыр', 'шегьибиыр', 'шиибу'}	{'шиибу'}	DIFFERENT
{'эхенг', 'эхеньгъ', 'эхэньк', 'эхъенг', 'eheng'}	{'эхенг', 'егьенг раствори', 'эхеньгъ', 'эхъенг', 'эхэньк', 'eheng'}	DIFFERENT
{'кир', "k'ir", "k'iri"}	{'кир', 'кираж', 'кредж', 'киреж', 'kirac', 'kirəc podtv', 'киражи', 'kirəc', '*кираж', 'кереж', "k'ir", 'кирож', 'kiraz', "k'iri", 'кираз', 'киредж', 'киречли', 'кирач', 'кирадж', 'к1ер'}	DIFFERENT
{'кереж', 'кираж', 'киреж(нп)', 'кирож', 'кирач', 'кредж', 'киреж', 'kiraz', 'kirac', 'kirəc podtv', 'киражи', 'кирадж', 'kirəc', 'кираз', 'киредж', 'киречли'}	{'кир', 'кираж', 'кредж', 'киреж', 'kirac', 'kirəc podtv', 'киражи', 'kirəc', '*кираж', 'кереж', "k'ir", 'кирож', 'kiraz', "k'iri", 'кираз', 'киредж', 'киречли', 'кирач', 'кирадж', 'к1ер'}	DIFFERENT
{'ГАЧ', 'гачилъи лълъени', 'гачи', 'гач', 'бергъолъиб гач', 'гачил', 'гаче'}	{'гьак подтвердил', 'гьяк', 'гьак', 'бергъолъиб гач'}	DIFFERENT
{'билъилаледу'}	{'известковый раствор', 'билъилаледу', 'известь'}	DIFFERENT
{'ГАЧ', 'гачилъи лълъени', 'гачи', 'гач', 'бергъолъиб гач', 'гачил', 'гаче'}	{'ГАЧ', 'гачилъи лълъени', 'гачи', 'гач', 'гачил', 'гаче'}	DIFFERENT
{'гьак подтвердил', 'гьяк', 'гьак'}	{'гьак подтвердил', 'гьяк', 'гьак', 'бергъолъиб гач'}	DIFFERENT
{'егьенг раствори'}	{'эхенг', 'егьенг раствори', 'эхеньгъ', 'эхъенг', 'эхэньк', 'eheng'}	DIFFERENT
{'раствор', 'известковый раствор', 'известь'}	{'известковый раствор', 'билъилаледу', 'известь'}	DIFFERENT
{'к1ер'}	{'кир', 'кираж', 'кредж', 'киреж', 'kirac', 'kirəc podtv', 'киражи', 'kirəc', '*кираж', 'кереж', "k'ir", 'кирож', 'kiraz', "k'iri", 'кираз', 'киредж', 'киречли', 'кирач', 'кирадж', 'к1ер'}	DIFFERENT
{'кереж', 'кираж', 'киреж(нп)', 'кирож', 'кирач', 'кредж', 'киреж', 'kiraz', 'kirac', 'kirəc podtv', 'киражи', 'кирадж', 'kirəc', 'кираз', 'киредж', 'киречли'}		NOT IN LIST 2
{'раствор', 'известковый раствор', 'известь'}	{'раствор'}	DIFFERENT
{'суаргь'}	{'сув', 'суаргь', 'сугъат1', 'сугъат'}	DIFFERENT
{'сув'}	{'сув', 'суаргь', 'сугъат1', 'сугъат'}	DIFFERENT
{'сугъат', 'сугъат1'}	{'сув', 'суаргь', 'сугъат1', 'сугъат'}	DIFFERENT
{'къатыр', 'гьятил', 'Муса: хъатир', 'qatır', 'ghater', 'къачил', "q'atiri", 'къачыр', 'къатир подтвердил', 'кхатир', 'гъатир', 'КЪАТИР', 'къатир', 'къятир', 'къатил', 'гъатиль', 'кьатиб', 'кьатир', 'q(g)atır', 'гъятир', "q'atir"}	{'къатыр', 'гьятил', 'Муса: хъатир', 'ghater', 'qatır', 'къачил', "q'atiri", 'ккъати', 'къачыр', 'къатир подтвердил', 'кхатир', 'гъатир', 'КЪАТИР', 'къатир', 'къятир', 'къатил', 'гъатиль', 'кьатиб', 'кьатир', 'q(g)atır', 'гъятир', "q'atir", '*къатир'}	DIFFERENT
{'г1урц1им', 'гьурцIум', 'г1урц1ен', 'г1урц1ина', 'г1урц1иня', 'гурц1им', 'хьойц1он', 'х1орцин', "q'urc'em", 'къгурц1им', 'гIорцIен'}	{'г1урц1им', 'КЪЕРÉЦIНИ', 'КЪВЕРÉЦIНИ', 'гьурцIум', 'г1урц1ен', 'xoyc’on', 'г1урц1ина', 'г1урц1иня', 'гурц1им', 'хьойц1он', 'х1орцин', "q'urc'em", 'къерец1ни', 'къгурц1им', 'гIорцIен'}	DIFFERENT
{'xoyc’on'}	{'г1урц1им', 'КЪЕРÉЦIНИ', 'КЪВЕРÉЦIНИ', 'гьурцIум', 'г1урц1ен', 'xoyc’on', 'г1урц1ина', 'г1урц1иня', 'гурц1им', 'хьойц1он', 'х1орцин', "q'urc'em", 'къерец1ни', 'къгурц1им', 'гIорцIен'}	DIFFERENT
{'КЪЕРÉЦIНИ', 'къерец1ни', 'к1ерец1и', 'КЪВЕРÉЦIНИ'}	{'к1ерец1и'}	DIFFERENT
{'ккъати'}	{'къатыр', 'гьятил', 'Муса: хъатир', 'ghater', 'qatır', 'къачил', "q'atiri", 'ккъати', 'къачыр', 'къатир подтвердил', 'кхатир', 'гъатир', 'КЪАТИР', 'къатир', 'къятир', 'къатил', 'гъатиль', 'кьатиб', 'кьатир', 'q(g)atır', 'гъятир', "q'atir", '*къатир'}	DIFFERENT
{'КЪЕРÉЦIНИ', 'къерец1ни', 'к1ерец1и', 'КЪВЕРÉЦIНИ'}	{'г1урц1им', 'КЪЕРÉЦIНИ', 'КЪВЕРÉЦIНИ', 'гьурцIум', 'г1урц1ен', 'xoyc’on', 'г1урц1ина', 'г1урц1иня', 'гурц1им', 'хьойц1он', 'х1орцин', "q'urc'em", 'къерец1ни', 'къгурц1им', 'гIорцIен'}	DIFFERENT
{'гуьбелег', 'гуьбялег', 'гёбелэк', 'q(g)öbələk', 'göbələk', 'qubelаk', 'гюбелей', 'гюбелег', 'gobelek', 'köbələk', 'qubelek', 'гюбелек'}	{'гуьбелег', 'гуьбялег', 'гёбелэк', 'кябаляй', 'q(g)öbələk', 'göbələk', 'qubelаk', 'гюбелей', 'гюбелег', 'gobelek', 'köbələk', 'qubelek', 'гюбелек'}	DIFFERENT
{'zok’o', "sok'oebi", 'зекIу', 'зок1о', "sok'o"}	{'zok’o', 'инахI-зикIу', "sok'oebi", 'зекIу', 'энехIзикIу', 'зок1о', "sok'o"}	DIFFERENT
{'инахI-зикIу'}	{'zok’o', 'инахI-зикIу', "sok'oebi", 'зекIу', 'энехIзикIу', 'зок1о', "sok'o"}	DIFFERENT
{'подтв', 'кябаляй'}	{'гуьбелег', 'гуьбялег', 'гёбелэк', 'кябаляй', 'q(g)öbələk', 'göbələk', 'qubelаk', 'гюбелей', 'гюбелег', 'gobelek', 'köbələk', 'qubelek', 'гюбелек'}	DIFFERENT
{'подтв', 'кябаляй'}		NOT IN LIST 2
{'шейт1акьап1а', 'шайт1а къапа'}	{'шейт1акьап1а', 'шайт1а къапа', 'шейт1унна хъати'}	DIFFERENT
{'шейт1унна хъати'}	{'шейт1акьап1а', 'шайт1а къапа', 'шейт1унна хъати'}	DIFFERENT
{'энехIзикIу'}	{'zok’o', 'инахI-зикIу', "sok'oebi", 'зекIу', 'энехIзикIу', 'зок1о', "sok'o"}	DIFFERENT
{'михъ', 'meekh', 'мых', 'мих', 'мях'}	{'михъ', 'мирх', 'meekh', 'mıx -маленький', 'mıx gorodskoe', 'мых', 'микъе', 'мих'}	DIFFERENT
{'мусмар', 'mes-mar', 'масмар', 'МИСМАР', 'мысмар', 'мисмар', 'mismaar', 'mısmar', 'mismar'}	{'mes-mar'}	DIFFERENT
{'мусмар', 'mes-mar', 'масмар', 'МИСМАР', 'мысмар', 'мисмар', 'mismaar', 'mısmar', 'mismar'}	{'мусмар', 'nusmari', 'масмар', 'nusmar', 'МИСМАР', 'мисмар', 'мысмар', 'mismaar', 'mısmar', 'mismar'}	DIFFERENT
{'mıx -маленький', 'mıx gorodskoe'}	{'михъ', 'мирх', 'meekh', 'mıx -маленький', 'mıx gorodskoe', 'мых', 'микъе', 'мих'}	DIFFERENT
{'muq’o'}	{'muq’o', 'мукъо'}	DIFFERENT
{'nusmar', 'nusmari'}	{'мусмар', 'nusmari', 'масмар', 'nusmar', 'МИСМАР', 'мисмар', 'мысмар', 'mismaar', 'mısmar', 'mismar'}	DIFFERENT
{'гкъум', 'кьум', 'гум', 'къум'}	{'машин гум', 'машинкъум', 'гкъум', 'гум', 'къум', 'кьум'}	DIFFERENT
{'гьанк1о', 'гьанк1ва', 'гьаНк1ва'}	{'гьанк1о', 'гьанк1ва', 'гьаНк1ва', 'х1аНк1ва'}	DIFFERENT
{'къунакъ'}	{'къунакъ', 'магI', 'мях'}	DIFFERENT
{'магI'}	{'къунакъ', 'магI', 'мях'}	DIFFERENT
{'машин гум', 'машинкъум'}	{'машин гум', 'машинкъум', 'гкъум', 'гум', 'къум', 'кьум'}	DIFFERENT
{'микъе'}	{'михъ', 'мирх', 'meekh', 'mıx -маленький', 'mıx gorodskoe', 'мых', 'микъе', 'мих'}	DIFFERENT
{'мирх'}	{'михъ', 'мирх', 'meekh', 'mıx -маленький', 'mıx gorodskoe', 'мых', 'микъе', 'мих'}	DIFFERENT
{'мукъо'}	{'muq’o', 'мукъо'}	DIFFERENT
{'михъ', 'meekh', 'мых', 'мих', 'мях'}	{'къунакъ', 'магI', 'мях'}	DIFFERENT
{'х1аНк1ва'}	{'гьанк1о', 'гьанк1ва', 'гьаНк1ва', 'х1аНк1ва'}	DIFFERENT
{'бежун', 'первое'}	{'бежун'}	DIFFERENT
{'бежун', 'первое'}		NOT IN LIST 2
{'раб'}	{'руб', 'ряб', 'ру1', 'рув', 'риб', 'руб/рув', 'раб'}	DIFFERENT
{'риб'}	{'руб', 'ряб', 'ру1', 'рув', 'риб', 'руб/рув', 'раб'}	DIFFERENT
{'руб', 'ряб', 'ру1', 'рув', 'руб/рув'}	{'руб', 'ряб', 'ру1', 'рув', 'риб', 'руб/рув', 'раб'}	DIFFERENT
{'ака', 'акъу', 'аква'}	{'эку', 'аква', 'ака', 'акъу', 'акъвал'}	DIFFERENT
{'акъвал'}	{'эку', 'аква', 'ака', 'акъу', 'акъвал'}	DIFFERENT
{'бешен', 'бешун'}	{'бешен', 'щикибол1и бешен', 'бешун', 'хIанчIибусен', 'ц1ц1умол1и бешен', 'щикибалъи бешен'}	DIFFERENT
{'дом'}	{'МУГ', 'МУЖИ', 'мег', 'мегь', 'дом', 'муг', 'мукъ', 'мукъу', 'мужи', 'мукьу', 'мукь', 'мегъ'}	DIFFERENT
{'мегъ', 'мегь', 'мег'}	{'МУГ', 'МУЖИ', 'мег', 'мегь', 'дом', 'муг', 'мукъ', 'мукъу', 'мужи', 'мукьу', 'мукь', 'мегъ'}	DIFFERENT
{'миса', 'подтвержил', 'мисиа'}	{'миса', 'мисиа'}	DIFFERENT
{'МУГ', 'муг', 'мукъ', 'мукъу', 'мукьу', 'мукь'}	{'МУГ', 'МУЖИ', 'мег', 'мегь', 'дом', 'муг', 'мукъ', 'мукъу', 'мужи', 'мукьу', 'мукь', 'мегъ'}	DIFFERENT
{'МУЖИ', 'мужи'}	{'МУГ', 'МУЖИ', 'мег', 'мегь', 'дом', 'муг', 'мукъ', 'мукъу', 'мужи', 'мукьу', 'мукь', 'мегъ'}	DIFFERENT
{'миса', 'подтвержил', 'мисиа'}		NOT IN LIST 2
{'уя', 'уя?'}	{'уя'}	DIFFERENT
{'уя', 'уя?'}		NOT IN LIST 2
{'хва', 'хIанчIибусен'}	{'бешен', 'щикибол1и бешен', 'бешун', 'хIанчIибусен', 'ц1ц1умол1и бешен', 'щикибалъи бешен'}	DIFFERENT
{'хва', 'хIанчIибусен'}	{'хва'}	DIFFERENT
{'ц1ц1умол1и бешен'}	{'бешен', 'щикибол1и бешен', 'бешун', 'хIанчIибусен', 'ц1ц1умол1и бешен', 'щикибалъи бешен'}	DIFFERENT
{'щекибул1и гьакъу', 'щикибол1и бешен', 'щикибалъи бешен'}	{'щекибул1и гьакъу'}	DIFFERENT
{'щекибул1и гьакъу', 'щикибол1и бешен', 'щикибалъи бешен'}	{'бешен', 'щикибол1и бешен', 'бешун', 'хIанчIибусен', 'ц1ц1умол1и бешен', 'щикибалъи бешен'}	DIFFERENT
{'эку'}	{'эку', 'аква', 'ака', 'акъу', 'акъвал'}	DIFFERENT
{'gicitkən'}	{'иджикан', 'къычыткъан', 'гиджихъаьн', 'gicitkən', 'гиджикъан', 'гичиткан', 'иджихъан', 'гиджикьан', 'гиджиткан'}	DIFFERENT
{'иджикан', 'къычыткъан', 'гиджихъаьн', 'гиджикъан', 'гичиткан', 'иджихъан', 'гиджикьан', 'гиджиткан'}	{'иджикан', 'къычыткъан', 'гиджихъаьн', 'gicitkən', 'гиджикъан', 'гичиткан', 'иджихъан', 'гиджикьан', 'гиджиткан'}	DIFFERENT
{'кьацIикIа медж'}	{'мадж', 'медж/магIдж', 'маджар', 'кьацIикIа медж'}	DIFFERENT
{'магъо', 'магъва', 'магъвал', 'маг1а'}	{'магъва', 'магъвал', 'маг1а', 'макъвал', 'магъо'}	DIFFERENT
{'мадж', 'медж/магIдж', 'маджар'}	{'мадж', 'медж/магIдж', 'маджар', 'кьацIикIа медж'}	DIFFERENT
{'макъвал'}	{'магъва', 'магъвал', 'маг1а', 'макъвал', 'магъо'}	DIFFERENT
{"k'eri", 'бурч1ина', 'берч1ин', 'беч1ин'}	{"k'eri", 'ker'}	DIFFERENT
{'ker', 'быть'}	{"k'eri", 'ker'}	DIFFERENT
{'solt', 'niħu'}	{'нех', 'нях', 'niħu', 'ныха', 'ниха', 'неха'}	DIFFERENT
{'гъаргъар', 'гъаргъал', 'гаргар', 'ГЕРГЕР', 'shoufan', 'гаргар или мух', 'гергер подтвердил', 'гергер'}	{'shoufan'}	DIFFERENT
{'solt', 'niħu'}	{'solt'}	DIFFERENT
{'švria', 'švria podtv', 'гъыл'}	{'švria', 'švria podtv'}	DIFFERENT
{'гьучахьар', 'vələmir'}	{'vələmir'}	DIFFERENT
{'yulaf', 'yulaf podtv', 'юлаф', 'джяхин', 'джярх'}	{'yulaf', 'yulaf podtv', 'юлаф'}	DIFFERENT
